student_id,student_code,student_name,gender,age,batch_year,program,institution_id,region_id,admission_date,graduation_date,is_active
32,pu-bsse-032,Rabia Shah,Female,23,2021,BSSE,1001,1,9/1/2021,6/30/2025,TRUE
33,pu-bsse-033,Ayesha Tariq,Female,25,2021,BSSE,1001,1,9/1/2021,6/30/2025,TRUE
34,pu-bba-034,Shahzaib Khan,Male,19,2023,BBA,1001,1,9/1/2023,6/30/2027,TRUE
35,pu-bscs-035,Ayesha Tariq,Female,22,2023,BSCS,1001,1,9/1/2023,6/30/2027,TRUE
36,pu-bsse-036,Mehak Javed,Female,24,2019,BSSE,1001,1,9/1/2019,6/30/2023,FALSE
37,pu-bba-037,Hamza Qureshi,Male,21,2019,BBA,1001,1,9/1/2019,6/30/2023,FALSE
38,pu-bba-038,Iqra Nawaz,Female,18,2020,BBA,1001,1,9/1/2020,6/30/2024,FALSE
39,pu-bsit-039,Mehak Javed,Female,25,2022,BSIT,1001,1,9/1/2022,6/30/2026,TRUE
40,pu-bscs-040,Ayesha Tariq,Female,22,2021,BSCS,1001,1,9/1/2021,6/30/2025,TRUE
41,pu-bsit-041,Ali Raza,Male,22,2018,BSIT,1001,1,9/1/2018,6/30/2022,FALSE
42,pu-bba-042,Shahzaib Khan,Male,18,2022,BBA,1001,1,9/1/2022,6/30/2026,TRUE
43,pu-bsse-043,Shahzaib Khan,Male,24,2020,BSSE,1001,1,9/1/2020,6/30/2024,FALSE
44,pu-bsse-044,Zainab Malik,Female,22,2018,BSSE,1001,1,9/1/2018,6/30/2022,FALSE
45,pu-bsse-045,Ahmed Nawaz,Male,23,2018,BSSE,1001,1,9/1/2018,6/30/2022,FALSE
46,pu-bscs-046,Ayesha Tariq,Female,23,2022,BSCS,1001,1,9/1/2022,6/30/2026,TRUE
47,pu-bscs-047,Ahmed Nawaz,Male,22,2023,BSCS,1001,1,9/1/2023,6/30/2027,TRUE
48,pu-bsse-048,Hira Sheikh,Female,18,2020,BSSE,1001,1,9/1/2020,6/30/2024,FALSE
49,pu-bscs-049,Mehak Javed,Female,24,2022,BSCS,1001,1,9/1/2022,6/30/2026,TRUE
50,pu-bsit-050,Shahzaib Khan,Male,23,2023,BSIT,1001,1,9/1/2023,6/30/2027,TRUE
51,pu-bba-051,Adeel Rauf,Male,23,2023,BBA,1001,1,9/1/2023,6/30/2027,TRUE
52,pu-bsse-052,Zainab Malik,Female,20,2020,BSSE,1001,1,9/1/2020,6/30/2024,FALSE
53,pu-bscs-053,Ali Raza,Male,18,2022,BSCS,1001,1,9/1/2022,6/30/2026,TRUE
54,pu-bsse-054,Fatima Zahra,Female,21,2022,BSSE,1001,1,9/1/2022,6/30/2026,TRUE
55,pu-bsse-055,Hamza Qureshi,Male,19,2021,BSSE,1001,1,9/1/2021,6/30/2025,TRUE
56,pu-bscs-056,Mehak Javed,Female,21,2021,BSCS,1001,1,9/1/2021,6/30/2025,TRUE
57,pu-bscs-057,Hira Sheikh,Female,22,2021,BSCS,1001,1,9/1/2021,6/30/2025,TRUE
58,pu-bsse-058,Ayesha Tariq,Female,24,2019,BSSE,1001,1,9/1/2019,6/30/2023,FALSE
59,pu-bsit-059,Adeel Rauf,Male,23,2020,BSIT,1001,1,9/1/2020,6/30/2024,FALSE
60,pu-bsse-060,Nimra Yousaf,Female,25,2019,BSSE,1001,1,9/1/2019,6/30/2023,FALSE
61,pu-bsit-061,Adeel Rauf,Male,21,2022,BSIT,1001,1,9/1/2022,6/30/2026,TRUE
62,pu-bba-062,Ayesha Tariq,Female,18,2021,BBA,1001,1,9/1/2021,6/30/2025,TRUE
63,pu-bsse-063,Fahad Mehmood,Male,23,2020,BSSE,1001,1,9/1/2020,6/30/2024,FALSE
64,pu-bscs-064,Bilal Zafar,Male,20,2022,BSCS,1001,1,9/1/2022,6/30/2026,TRUE
65,pu-bsse-065,Hira Sheikh,Female,25,2019,BSSE,1001,1,9/1/2019,6/30/2023,FALSE
66,pu-bba-066,Fahad Mehmood,Male,21,2019,BBA,1001,1,9/1/2019,6/30/2023,FALSE
67,pu-bscs-067,Adeel Rauf,Male,18,2018,BSCS,1001,1,9/1/2018,6/30/2022,FALSE
68,pu-bsit-068,Shahzaib Khan,Male,21,2019,BSIT,1001,1,9/1/2019,6/30/2023,FALSE
69,pu-bba-069,Fatima Zahra,Female,18,2019,BBA,1001,1,9/1/2019,6/30/2023,FALSE
70,pu-bba-070,Shahzaib Khan,Male,23,2018,BBA,1001,1,9/1/2018,6/30/2022,FALSE
71,pu-bsse-071,Imran Tariq,Male,22,2022,BSSE,1001,1,9/1/2022,6/30/2026,TRUE
72,pu-bsse-072,Iqra Nawaz,Female,25,2019,BSSE,1001,1,9/1/2019,6/30/2023,FALSE
73,pu-bscs-073,Fatima Zahra,Female,18,2019,BSCS,1001,1,9/1/2019,6/30/2023,FALSE
74,pu-bsit-074,Zohaib Hassan,Male,23,2022,BSIT,1001,1,9/1/2022,6/30/2026,TRUE
75,pu-bba-075,Bilal Zafar,Male,19,2022,BBA,1001,1,9/1/2022,6/30/2026,TRUE
76,pu-bsit-076,Hira Sheikh,Female,24,2020,BSIT,1001,1,9/1/2020,6/30/2024,FALSE
77,pu-bsit-077,Sana Iqbal,Female,25,2019,BSIT,1001,1,9/1/2019,6/30/2023,FALSE
78,pu-bscs-078,Fahad Mehmood,Male,23,2019,BSCS,1001,1,9/1/2019,6/30/2023,FALSE
79,pu-bscs-079,Adeel Rauf,Male,18,2020,BSCS,1001,1,9/1/2020,6/30/2024,FALSE
80,pu-bscs-080,Rabia Shah,Female,18,2019,BSCS,1001,1,9/1/2019,6/30/2023,FALSE
81,pu-bba-081,Adeel Rauf,Male,25,2023,BBA,1001,1,9/1/2023,6/30/2027,TRUE
82,pu-bba-082,Usman Ghani,Male,24,2023,BBA,1001,1,9/1/2023,6/30/2027,TRUE
83,pu-bsse-083,Fahad Mehmood,Male,19,2018,BSSE,1001,1,9/1/2018,6/30/2022,FALSE
84,pu-bsit-084,Rabia Shah,Female,25,2018,BSIT,1001,1,9/1/2018,6/30/2022,FALSE
85,pu-bscs-085,Adeel Rauf,Male,25,2023,BSCS,1001,1,9/1/2023,6/30/2027,TRUE
86,pu-bsit-086,Fahad Mehmood,Male,20,2022,BSIT,1001,1,9/1/2022,6/30/2026,TRUE
87,pu-bscs-087,Ayesha Tariq,Female,21,2021,BSCS,1001,1,9/1/2021,6/30/2025,TRUE
88,pu-bba-088,Bilal Zafar,Male,22,2019,BBA,1001,1,9/1/2019,6/30/2023,FALSE
89,pu-bba-089,Bilal Zafar,Male,22,2021,BBA,1001,1,9/1/2021,6/30/2025,TRUE
90,pu-bsit-090,Hamza Qureshi,Male,24,2021,BSIT,1001,1,9/1/2021,6/30/2025,TRUE
91,pu-bsse-091,Adeel Rauf,Male,21,2021,BSSE,1001,1,9/1/2021,6/30/2025,TRUE
92,pu-bsse-092,Sana Iqbal,Female,21,2022,BSSE,1001,1,9/1/2022,6/30/2026,TRUE
93,pu-bsit-093,Iqra Nawaz,Female,19,2022,BSIT,1001,1,9/1/2022,6/30/2026,TRUE
94,pu-bsse-094,Fahad Mehmood,Male,23,2023,BSSE,1001,1,9/1/2023,6/30/2027,TRUE
95,pu-bscs-095,Zainab Malik,Female,20,2023,BSCS,1001,1,9/1/2023,6/30/2027,TRUE
96,pu-bsit-096,Fatima Zahra,Female,18,2021,BSIT,1001,1,9/1/2021,6/30/2025,TRUE
97,pu-bsit-097,Hamza Qureshi,Male,24,2018,BSIT,1001,1,9/1/2018,6/30/2022,FALSE
98,pu-bsit-098,Aqsa Batool,Female,25,2018,BSIT,1001,1,9/1/2018,6/30/2022,FALSE
99,pu-bba-099,Shahzaib Khan,Male,24,2021,BBA,1001,1,9/1/2021,6/30/2025,TRUE
100,pu-bsse-100,Iqra Nawaz,Female,25,2020,BSSE,1001,1,9/1/2020,6/30/2024,FALSE
101,02-bscs-101,Aqsa Batool,Female,21,2019,BSCS,1002,2,9/1/2019,6/30/2023,FALSE
102,02-bscs-102,Adeel Rauf,Male,23,2018,BSCS,1002,2,9/1/2018,6/30/2022,FALSE
103,02-bsit-103,Hamza Qureshi,Male,20,2021,BSIT,1002,2,9/1/2021,6/30/2025,TRUE
104,02-bscs-104,Usman Ghani,Male,24,2023,BSCS,1002,2,9/1/2023,6/30/2027,TRUE
105,02-bsit-105,Shahzaib Khan,Male,22,2023,BSIT,1002,2,9/1/2023,6/30/2027,TRUE
106,02-bba-106,Imran Tariq,Male,19,2020,BBA,1002,2,9/1/2020,6/30/2024,FALSE
107,02-bsit-107,Bilal Zafar,Male,19,2019,BSIT,1002,2,9/1/2019,6/30/2023,FALSE
108,02-bscs-108,Bilal Zafar,Male,18,2023,BSCS,1002,2,9/1/2023,6/30/2027,TRUE
109,02-bscs-109,Aqsa Batool,Female,23,2019,BSCS,1002,2,9/1/2019,6/30/2023,FALSE
110,02-bba-110,Imran Tariq,Male,22,2022,BBA,1002,2,9/1/2022,6/30/2026,TRUE
111,02-bsse-111,Usman Ghani,Male,21,2022,BSSE,1002,2,9/1/2022,6/30/2026,TRUE
112,02-bscs-112,Shahzaib Khan,Male,19,2021,BSCS,1002,2,9/1/2021,6/30/2025,TRUE
113,02-bsse-113,Aqsa Batool,Female,21,2019,BSSE,1002,2,9/1/2019,6/30/2023,FALSE
114,02-bscs-114,Ayesha Tariq,Female,18,2023,BSCS,1002,2,9/1/2023,6/30/2027,TRUE
115,02-bsse-115,Sana Iqbal,Female,20,2022,BSSE,1002,2,9/1/2022,6/30/2026,TRUE
116,02-bscs-116,Rabia Shah,Female,24,2018,BSCS,1002,2,9/1/2018,6/30/2022,FALSE
117,02-bba-117,Shahzaib Khan,Male,21,2018,BBA,1002,2,9/1/2018,6/30/2022,FALSE
118,02-bscs-118,Adeel Rauf,Male,25,2021,BSCS,1002,2,9/1/2021,6/30/2025,TRUE
119,02-bscs-119,Zainab Malik,Female,20,2023,BSCS,1002,2,9/1/2023,6/30/2027,TRUE
120,02-bsse-120,Zainab Malik,Female,18,2019,BSSE,1002,2,9/1/2019,6/30/2023,FALSE
121,02-bsse-121,Aqsa Batool,Female,22,2021,BSSE,1002,2,9/1/2021,6/30/2025,TRUE
122,02-bscs-122,Imran Tariq,Male,22,2020,BSCS,1002,2,9/1/2020,6/30/2024,FALSE
123,02-bsit-123,Fatima Zahra,Female,24,2021,BSIT,1002,2,9/1/2021,6/30/2025,TRUE
124,02-bba-124,Ali Raza,Male,22,2018,BBA,1002,2,9/1/2018,6/30/2022,FALSE
125,02-bsse-125,Mehak Javed,Female,21,2023,BSSE,1002,2,9/1/2023,6/30/2027,TRUE
126,03-bsit-126,Mehak Javed,Female,22,2022,BSIT,1003,1,9/1/2022,6/30/2026,TRUE
127,03-bsit-127,Usman Ghani,Male,23,2022,BSIT,1003,1,9/1/2022,6/30/2026,TRUE
128,03-bba-128,Adeel Rauf,Male,18,2022,BBA,1003,1,9/1/2022,6/30/2026,TRUE
129,03-bscs-129,Aqsa Batool,Female,24,2021,BSCS,1003,1,9/1/2021,6/30/2025,TRUE
130,03-bsit-130,Iqra Nawaz,Female,24,2018,BSIT,1003,1,9/1/2018,6/30/2022,FALSE
131,03-bsse-131,Imran Tariq,Male,24,2023,BSSE,1003,1,9/1/2023,6/30/2027,TRUE
132,03-bba-132,Aqsa Batool,Female,18,2023,BBA,1003,1,9/1/2023,6/30/2027,TRUE
133,03-bsse-133,Hamza Qureshi,Male,21,2022,BSSE,1003,1,9/1/2022,6/30/2026,TRUE
134,03-bsit-134,Shahzaib Khan,Male,24,2021,BSIT,1003,1,9/1/2021,6/30/2025,TRUE
135,03-bsse-135,Ali Raza,Male,20,2018,BSSE,1003,1,9/1/2018,6/30/2022,FALSE
136,03-bsit-136,Zainab Malik,Female,25,2018,BSIT,1003,1,9/1/2018,6/30/2022,FALSE
137,03-bba-137,Zainab Malik,Female,21,2018,BBA,1003,1,9/1/2018,6/30/2022,FALSE
138,03-bsit-138,Iqra Nawaz,Female,22,2022,BSIT,1003,1,9/1/2022,6/30/2026,TRUE
139,03-bsse-139,Iqra Nawaz,Female,25,2021,BSSE,1003,1,9/1/2021,6/30/2025,TRUE
140,03-bscs-140,Usman Ghani,Male,22,2021,BSCS,1003,1,9/1/2021,6/30/2025,TRUE
141,03-bsit-141,Nimra Yousaf,Female,25,2021,BSIT,1003,1,9/1/2021,6/30/2025,TRUE
142,03-bba-142,Fatima Zahra,Female,18,2022,BBA,1003,1,9/1/2022,6/30/2026,TRUE
143,03-bba-143,Imran Tariq,Male,22,2020,BBA,1003,1,9/1/2020,6/30/2024,FALSE
144,03-bsit-144,Mehak Javed,Female,18,2020,BSIT,1003,1,9/1/2020,6/30/2024,FALSE
145,03-bscs-145,Ahmed Nawaz,Male,21,2018,BSCS,1003,1,9/1/2018,6/30/2022,FALSE
146,03-bscs-146,Ayesha Tariq,Female,23,2019,BSCS,1003,1,9/1/2019,6/30/2023,FALSE
147,03-bsse-147,Mehak Javed,Female,21,2021,BSSE,1003,1,9/1/2021,6/30/2025,TRUE
148,03-bsse-148,Iqra Nawaz,Female,25,2019,BSSE,1003,1,9/1/2019,6/30/2023,FALSE
149,03-bba-149,Adeel Rauf,Male,24,2023,BBA,1003,1,9/1/2023,6/30/2027,TRUE
150,03-bba-150,Bilal Zafar,Male,23,2021,BBA,1003,1,9/1/2021,6/30/2025,TRUE
151,04-bsse-151,Zainab Malik,Female,24,2022,BSSE,1004,3,9/1/2022,6/30/2026,TRUE
152,04-bba-152,Rabia Shah,Female,20,2020,BBA,1004,3,9/1/2020,6/30/2024,FALSE
153,04-bba-153,Hamza Qureshi,Male,19,2020,BBA,1004,3,9/1/2020,6/30/2024,FALSE
154,04-bba-154,Rabia Shah,Female,22,2022,BBA,1004,3,9/1/2022,6/30/2026,TRUE
155,04-bba-155,Iqra Nawaz,Female,22,2022,BBA,1004,3,9/1/2022,6/30/2026,TRUE
156,04-bsse-156,Iqra Nawaz,Female,20,2020,BSSE,1004,3,9/1/2020,6/30/2024,FALSE
157,04-bsit-157,Ali Raza,Male,25,2021,BSIT,1004,3,9/1/2021,6/30/2025,TRUE
158,04-bscs-158,Mehak Javed,Female,22,2020,BSCS,1004,3,9/1/2020,6/30/2024,FALSE
159,04-bsit-159,Mehak Javed,Female,22,2019,BSIT,1004,3,9/1/2019,6/30/2023,FALSE
160,04-bscs-160,Hamza Qureshi,Male,19,2021,BSCS,1004,3,9/1/2021,6/30/2025,TRUE
161,04-bba-161,Nimra Yousaf,Female,18,2019,BBA,1004,3,9/1/2019,6/30/2023,FALSE
162,04-bba-162,Ayesha Tariq,Female,24,2020,BBA,1004,3,9/1/2020,6/30/2024,FALSE
163,04-bscs-163,Imran Tariq,Male,20,2021,BSCS,1004,3,9/1/2021,6/30/2025,TRUE
164,04-bsse-164,Adeel Rauf,Male,19,2018,BSSE,1004,3,9/1/2018,6/30/2022,FALSE
165,04-bsse-165,Usman Ghani,Male,20,2023,BSSE,1004,3,9/1/2023,6/30/2027,TRUE
166,04-bscs-166,Rabia Shah,Female,18,2018,BSCS,1004,3,9/1/2018,6/30/2022,FALSE
167,04-bsse-167,Iqra Nawaz,Female,19,2023,BSSE,1004,3,9/1/2023,6/30/2027,TRUE
168,04-bba-168,Ayesha Tariq,Female,20,2021,BBA,1004,3,9/1/2021,6/30/2025,TRUE
169,04-bscs-169,Fatima Zahra,Female,22,2019,BSCS,1004,3,9/1/2019,6/30/2023,FALSE
170,04-bsit-170,Sana Iqbal,Female,18,2023,BSIT,1004,3,9/1/2023,6/30/2027,TRUE
171,04-bsit-171,Fatima Zahra,Female,19,2019,BSIT,1004,3,9/1/2019,6/30/2023,FALSE
172,04-bba-172,Bilal Zafar,Male,20,2018,BBA,1004,3,9/1/2018,6/30/2022,FALSE
173,04-bsit-173,Sana Iqbal,Female,20,2018,BSIT,1004,3,9/1/2018,6/30/2022,FALSE
174,04-bscs-174,Ahmed Nawaz,Male,24,2023,BSCS,1004,3,9/1/2023,6/30/2027,TRUE
175,04-bsse-175,Fahad Mehmood,Male,22,2019,BSSE,1004,3,9/1/2019,6/30/2023,FALSE
